models,ccp alpha,train scores,test scores,impurities,node count,depth
DecisionTreeClassifier(random_state=0),0.0,0.9855,0.22,0.014596193609022558,3611,41
DecisionTreeClassifier(random_state=0),0.0,0.9855,0.22,0.014596193609022558,3611,41
"DecisionTreeClassifier(ccp_alpha=8.333333333333332e-05, random_state=0)",8.333333333333332e-05,0.9855,0.22,0.014679526942355891,3607,41
"DecisionTreeClassifier(ccp_alpha=9.999999999999994e-05, random_state=0)",9.999999999999994e-05,0.9855,0.22,0.01477952694235589,3605,41
"DecisionTreeClassifier(ccp_alpha=0.00015533625730994143, random_state=0)",0.00015533625730994143,0.985,0.22,0.015245535714285715,3599,41
"DecisionTreeClassifier(ccp_alpha=0.00016111111111111133, random_state=0)",0.00016111111111111133,0.98475,0.22,0.015567757936507937,3595,41
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.9835,0.221,0.01590109126984127,3575,40
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.9835,0.221,0.016234424603174605,3575,40
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.9835,0.221,0.01656775793650794,3575,40
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.9835,0.221,0.016901091269841274,3575,40
"DecisionTreeClassifier(ccp_alpha=0.00016666666666666666, random_state=0)",0.00016666666666666666,0.9835,0.221,0.01723442460317461,3575,40
"DecisionTreeClassifier(ccp_alpha=0.0001666666666666667, random_state=0)",0.0001666666666666667,0.9835,0.221,0.017401091269841275,3573,40
"DecisionTreeClassifier(ccp_alpha=0.00016904761904761945, random_state=0)",0.00016904761904761945,0.98325,0.221,0.017570138888888896,3571,39
"DecisionTreeClassifier(ccp_alpha=0.00017211021505376348, random_state=0)",0.00017211021505376348,0.98325,0.221,0.017742249103942658,3569,39
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.98225,0.221,0.01811724910394266,3553,39
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.98225,0.221,0.01849224910394266,3553,39
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.98225,0.221,0.01886724910394266,3553,39
"DecisionTreeClassifier(ccp_alpha=0.0001875, random_state=0)",0.0001875,0.98225,0.221,0.01924224910394266,3553,39
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.98125,0.222,0.01964224910394266,3533,39
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.98125,0.222,0.02004224910394266,3533,39
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.98125,0.222,0.020442249103942663,3533,39
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.98125,0.222,0.020842249103942664,3533,39
"DecisionTreeClassifier(ccp_alpha=0.00019999999999999996, random_state=0)",0.00019999999999999996,0.98125,0.222,0.021242249103942665,3533,39
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333332, random_state=0)",0.00020833333333333332,0.98075,0.224,0.022075582437275997,3525,39
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.9795,0.224,0.022492249103942662,3505,39
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.9795,0.224,0.02290891577060933,3505,39
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.9795,0.224,0.023325582437275994,3505,39
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.9795,0.224,0.02374224910394266,3505,39
"DecisionTreeClassifier(ccp_alpha=0.00020833333333333335, random_state=0)",0.00020833333333333335,0.9795,0.224,0.024158915770609326,3505,39
"DecisionTreeClassifier(ccp_alpha=0.00021153846153846155, random_state=0)",0.00021153846153846155,0.97875,0.224,0.025428146539840095,3493,39
"DecisionTreeClassifier(ccp_alpha=0.00021249999999999996, random_state=0)",0.00021249999999999996,0.97825,0.224,0.026278146539840095,3485,39
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.9755,0.224,0.026706717968411522,3441,39
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.9755,0.224,0.02713528939698295,3441,39
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.9755,0.224,0.027563860825554377,3441,39
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.9755,0.224,0.027992432254125805,3441,39
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.9755,0.224,0.028421003682697232,3441,39
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.9755,0.224,0.02884957511126866,3441,39
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.9755,0.224,0.029278146539840087,3441,39
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.9755,0.224,0.029706717968411515,3441,39
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.9755,0.224,0.030135289396982942,3441,39
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.9755,0.224,0.03056386082555437,3441,39
"DecisionTreeClassifier(ccp_alpha=0.00021428571428571433, random_state=0)",0.00021428571428571433,0.9755,0.224,0.030992432254125797,3441,39
"DecisionTreeClassifier(ccp_alpha=0.00021666666666666666, random_state=0)",0.00021666666666666666,0.975,0.224,0.03142576558745913,3437,39
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.97375,0.225,0.03186326558745913,3417,39
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.97375,0.225,0.03230076558745913,3417,39
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.97375,0.225,0.03273826558745913,3417,39
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.97375,0.225,0.03317576558745913,3417,39
"DecisionTreeClassifier(ccp_alpha=0.00021875, random_state=0)",0.00021875,0.97375,0.225,0.03361326558745913,3417,39
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.97225,0.225,0.034057710031903575,3393,39
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.97225,0.225,0.03450215447634802,3393,39
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.97225,0.225,0.03494659892079246,3393,39
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.97225,0.225,0.0353910433652369,3393,39
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.97225,0.225,0.03583548780968134,3393,39
"DecisionTreeClassifier(ccp_alpha=0.0002222222222222222, random_state=0)",0.0002222222222222222,0.97225,0.225,0.036279932254125784,3393,39
"DecisionTreeClassifier(ccp_alpha=0.00022500000000000005, random_state=0)",0.00022500000000000005,0.971,0.225,0.03672993225412578,3373,39
"DecisionTreeClassifier(ccp_alpha=0.00022500000000000005, random_state=0)",0.00022500000000000005,0.971,0.225,0.03717993225412578,3373,39
"DecisionTreeClassifier(ccp_alpha=0.00022500000000000005, random_state=0)",0.00022500000000000005,0.971,0.225,0.03762993225412578,3373,39
"DecisionTreeClassifier(ccp_alpha=0.00022500000000000005, random_state=0)",0.00022500000000000005,0.971,0.225,0.03807993225412578,3373,39
"DecisionTreeClassifier(ccp_alpha=0.00022500000000000005, random_state=0)",0.00022500000000000005,0.971,0.225,0.03852993225412578,3373,39
"DecisionTreeClassifier(ccp_alpha=0.00022702020202020195, random_state=0)",0.00022702020202020195,0.96975,0.225,0.03989205346624699,3361,39
"DecisionTreeClassifier(ccp_alpha=0.0002291666666666667, random_state=0)",0.0002291666666666667,0.969,0.224,0.04035038679958032,3349,39
"DecisionTreeClassifier(ccp_alpha=0.0002291666666666667, random_state=0)",0.0002291666666666667,0.969,0.224,0.04080872013291365,3349,39
"DecisionTreeClassifier(ccp_alpha=0.0002291666666666667, random_state=0)",0.0002291666666666667,0.969,0.224,0.04126705346624698,3349,39
"DecisionTreeClassifier(ccp_alpha=0.0002321428571428572, random_state=0)",0.0002321428571428572,0.96875,0.224,0.0417313391805327,3345,39
"DecisionTreeClassifier(ccp_alpha=0.00023234077750206773, random_state=0)",0.00023234077750206773,0.96775,0.224,0.042893043068043035,3335,38
"DecisionTreeClassifier(ccp_alpha=0.00023571428571428577, random_state=0)",0.00023571428571428577,0.96725,0.224,0.04336447163947161,3331,38
"DecisionTreeClassifier(ccp_alpha=0.00023684210526315802, random_state=0)",0.00023684210526315802,0.967,0.224,0.04383815584999792,3327,38
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.04408815584999792,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.044838155849997924,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.045088155849997924,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.045338155849997924,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.045588155849997924,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.046088155849997925,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.046588155849997925,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.046838155849997926,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.047088155849997926,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.047338155849997926,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.047588155849997926,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.047838155849997926,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.04833815584999793,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.04858815584999793,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.04908815584999793,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.04933815584999793,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.04958815584999793,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.04983815584999793,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.05008815584999793,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.05033815584999793,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.05058815584999793,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.05083815584999793,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.05108815584999793,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.05158815584999793,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.05183815584999793,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.05208815584999793,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.05233815584999793,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.05258815584999793,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.05283815584999793,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.05308815584999793,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.05333815584999793,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.05358815584999793,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.05383815584999793,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.05408815584999793,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.05433815584999793,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.05458815584999793,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.05483815584999793,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.05508815584999793,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.05533815584999793,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.05558815584999793,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.055838155849997934,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.056088155849997934,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.056338155849997934,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.056838155849997934,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.057088155849997935,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.057338155849997935,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.057588155849997935,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.057838155849997935,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.058088155849997936,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.058338155849997936,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.058588155849997936,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.058838155849997936,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.059088155849997936,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.05933815584999794,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.05958815584999794,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.05983815584999794,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.06058815584999794,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.06083815584999794,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.06133815584999794,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.06158815584999794,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.06258815584999794,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.06283815584999794,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.06333815584999794,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.06358815584999794,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.06383815584999794,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.06433815584999794,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.06458815584999794,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.06483815584999794,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.06508815584999794,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.06583815584999794,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.06608815584999794,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.06658815584999794,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.06683815584999794,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.06708815584999794,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.06733815584999794,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.06758815584999794,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.06783815584999794,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.06808815584999794,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.06833815584999794,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.06858815584999794,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.06883815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.06933815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.06983815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.07033815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.07083815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.07133815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.07158815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.07183815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.07208815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.07233815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.07258815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.07283815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.07308815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.07333815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.07383815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.07408815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.07483815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.07508815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.07558815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.07608815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.07633815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.07658815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.07683815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.07708815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.07733815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.07808815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.07833815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.07883815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.07908815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.07933815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.07958815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.07983815584999795,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08008815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08033815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08083815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08108815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08133815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08158815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08183815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08208815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08233815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08283815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08308815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08333815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08358815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08383815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08433815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08458815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08483815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08508815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08558815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08608815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08633815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08658815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08733815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08758815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08808815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08833815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08883815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08933815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08958815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.08983815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.09033815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.09083815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.09108815584999796,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.09133815584999797,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.09158815584999797,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.09183815584999797,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.09208815584999797,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.09233815584999797,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.09258815584999797,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.09308815584999797,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.09358815584999797,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.09383815584999797,2915,37
"DecisionTreeClassifier(ccp_alpha=0.00025, random_state=0)",0.00025,0.916,0.222,0.09408815584999797,2915,37
