learning style_0,gpa_0,student semester_0,major_0,previous courses_0,course types_0,course subjects_0,subjects of interest_0,extracurricular activities_0,learning style_1,gpa_1,student semester_1,major_1,previous courses_1,course types_1,course subjects_1,subjects of interest_1,extracurricular activities_1,learning style_2,gpa_2,student semester_2,major_2,previous courses_2,course types_2,course subjects_2,subjects of interest_2,extracurricular activities_2,learning style_3,gpa_3,student semester_3,major_3,previous courses_3,course types_3,course subjects_3,subjects of interest_3,extracurricular activities_3,learning style_4,gpa_4,student semester_4,major_4,previous courses_4,course types_4,course subjects_4,subjects of interest_4,extracurricular activities_4,target,model
0.00643601632903713,-0.014203946488602208,-0.00010127662995854073,-0.0002661748702146912,4.8962893334111515e-05,-0.011524145188514757,0.010281493847747144,0.0023622812959367455,0.0002845646238474013,-3.5157002909865466e-05,0.004670192828049391,0.0028886423483265302,-0.00073688394491085,-5.890076389256951e-05,0.000705480404280555,-0.008791817589638802,-0.007764422862388716,-0.0013790062779333754,-9.32439673793651e-05,9.195911684430582e-05,-0.0024895771075352734,-0.0006772487613209849,-0.00021628811165034424,-1.9022218458216186e-05,-6.87858993710107e-06,-0.0006198427751358272,0.0003307002763980395,0.00010544473794873345,3.1513099221114467e-06,-4.686751724152405e-06,-0.005058736304519682,0.0008182527620991997,0.00051967001006063,0.00022696460350083084,-0.00010807577814903757,-0.0008923359197898645,0.0010407883856665939,-0.00018074411070542824,7.064816835006493e-05,-0.00012165394797311972,-0.001091931715519452,0.0003738788627767765,-1.3715436048604206e-06,1.8828208582325792e-05,1.5616393482352854e-06,all_columns,LinearRegression
-0.000995585350715235,0.0021972040348305147,1.5666450176893137e-05,4.117450732974154e-05,-7.574054638759267e-06,0.009161809197618333,-0.008173889113565246,-0.0018780369520200717,-0.00022623168533838405,2.7950164402763198e-05,0.009055350413072295,0.005600982581496981,-0.001428793752338878,-0.00011420664548183667,0.0013679033190979774,0.0002937575975762456,0.00025942965528645497,4.607620291459112e-05,3.1155245848276786e-06,-3.0725943712995477e-06,-0.0014194389632560204,-0.00038613516999583936,-0.00012331723811097791,-1.0845568094852575e-05,-3.92184622015918e-06,-0.008785838919989868,0.004687445713298214,0.0014946055995814535,4.4667619714644426e-05,-6.643143609662083e-05,0.012763510849103463,-0.002064503341878309,-0.001311160221068754,-0.0005726460137005249,0.00027268200670948274,-0.0007223306302647094,0.0008425003565560596,-0.0001463092592229518,5.718848119816474e-05,-9.84767854400697e-05,0.008307755782824496,-0.0028445865617448287,1.0435129919506518e-05,-0.00014325086130100262,-1.1881437402719025e-05,all_columns,LinearRegression
-0.008185321145738932,0.018064569386121138,0.00012880354840442762,0.00033852101707743484,-6.227097410491213e-05,0.01681561232048757,-0.015002380809250825,-0.003446954703764093,-0.00041522631973712446,5.129981630843578e-05,-0.012870437512042221,-0.007960718584355275,0.002030755284801263,0.0001623227624644991,-0.0019442112549891352,-0.013879947439609153,-0.012257963740724355,-0.0021770850522608103,-0.0001472074861757214,0.00014517904806124167,0.029320574203886573,0.007976182983326559,0.002547296730785259,0.00022403096740347344,8.101143204540085e-05,0.0012029208481442245,-0.0006417857445851283,-0.00020463523766626289,-6.115706363506346e-06,9.095518388229014e-06,-0.00018941523187567216,3.063799481452614e-05,1.945810367038161e-05,8.498279098135705e-06,-4.0467020508568214e-06,0.00021724597824567527,-0.00025338786210031994,4.400353081336465e-05,-1.7199834842566137e-05,2.961758049714348e-05,0.07045649040108817,-0.024124395447081823,8.849834422526269e-05,-0.0012148832004749027,-0.00010076420181325972,all_columns,LinearRegression
0.00643601632903713,-0.014203946488602208,-0.00010127662995854073,-0.0002661748702146912,4.8962893334111515e-05,0.0017148656186104143,-0.0015299512474927803,-0.00035152238275561626,-4.234501403150114e-05,5.231584170216859e-06,-0.015063016304553672,-0.009316888700940499,0.002376710188515277,0.00018997570325913267,-0.0022754227123978465,0.016119194484047056,0.014235536724820391,0.0025283134189369766,0.00017095641820679254,-0.0001686007328838895,-0.02872155270532295,-0.007813228975322972,-0.0024952552702616464,-0.00021945399817751272,-7.935636249979187e-05,0.03578627608959517,-0.019092795574639644,-0.006087792994927627,-0.00018193911656362957,0.0002705869905915272,-0.015275803766784168,0.0024708677964275323,0.001569241134406723,0.0006853622202025134,-0.00032635509731396295,-0.0008927170525923395,0.0010412329252008827,-0.00018082130978249806,7.0678343459904e-05,-0.00012170590857348876,-0.009894916528848125,0.0033880324991906155,-1.2428716276743728e-05,0.00017061831766762773,1.4151334537986193e-05,all_columns,LinearRegression
0.0030952165590854776,-0.006830978687473735,-4.870607625430703e-05,-0.0001280091323236584,2.3547292374746182e-05,0.0010942869870264255,-0.0009762897586534122,-0.0002243128353169126,-2.702112475592768e-05,3.338369150838011e-06,-0.001907543549484963,-0.0011798680014291462,0.0003009807662311923,2.4058058491331213e-05,-0.0002881539679455788,-0.011057865336497642,-0.009765664670875562,-0.0017344383643199067,-0.00011727714141122879,0.00011566112696946461,-0.0021631751505993223,-0.0005884564437990475,-0.00018793114182965605,-1.652826504290227e-05,-5.976755963116426e-06,-0.001108545178848781,0.0005914341696806471,0.00018858049262964662,5.635896006772788e-06,-8.381925605459976e-06,-0.0032468738031247663,0.0005251832271274374,0.00033354237903800957,0.00014567381673661226,-6.936681252013832e-05,-0.0008942817030445844,0.0010430578769732018,-0.00018113823230941195,7.080222022661e-05,-0.00012191922051184303,0.0047080742600141235,-0.0016120508500527533,5.913674866984203e-06,-8.118145386633009e-05,-6.733309340093806e-06,all_columns,LinearRegression
-0.008185321145738932,0.018064569386121138,0.00012880354840442762,0.00033852101707743484,-6.227097410491213e-05,0.0031628824256397367,-0.0028218280547846527,-0.0006483446601125947,-7.810075567450626e-05,9.649085882100883e-06,-0.004100122341996415,-0.0025360381180143717,0.0006469356699452064,5.171099928596479e-05,-0.0006193654253542901,-0.012461680470493241,-0.011005432694931042,-0.0019546283151577453,-0.0001321656773966896,0.00013034450712592322,0.026017544602215104,0.0070776477664144825,0.002260337940431508,0.00019879336762527124,7.188530933514756e-05,-0.002606048733047596,0.0013903865155752576,0.0004433287549050104,1.324927475061598e-05,-1.9704841102906392e-05,-0.0024686443203492895,0.0003993042752518212,0.00025359701347663733,0.00011075787422484625,-5.274057389719658e-05,0.0007161648643826735,-0.0008353088299387365,0.00014506037318524879,-5.6700324152840674e-05,9.763619419501003e-05,0.0158168707960097,-0.00541571746827237,1.9867110443669677e-05,-0.00027273073786056063,-2.2620689050369727e-05,all_columns,LinearRegression
0.00643601632903713,-0.014203946488602208,-0.00010127662995854073,-0.0002661748702146912,4.8962893334111515e-05,0.0035766015133623986,-0.003190935714010901,-0.0007331510250717311,-8.831668185822197e-05,1.0911229228353458e-05,-0.012870437512042221,-0.007960718584355275,0.002030755284801263,0.0001623227624644991,-0.0019442112549891352,-0.0007191128154235307,-0.0006350786885400528,-0.00011279363759549229,-7.626742845808959e-06,7.521650528293887e-06,-0.00416642129592242,-0.00113340681566532,-0.00036196805943760973,-3.183455368388406e-05,-1.1511635254482476e-05,0.020734242055239473,-0.011062191661537076,-0.0035272117507560586,-0.0001054138651560769,0.00015677563504727874,0.0004893149248258526,-7.914689848873867e-05,-5.026597090658414e-05,-2.195353962231941e-05,1.0453814564962387e-05,-0.0008882477689927797,0.0010360201142408942,-0.00017991604902611942,7.032450059294841e-05,-0.00012109660216494925,-0.018748969424955794,0.006419671914652935,-2.3550034079089424e-05,0.00032328899510788853,2.6814065363915758e-05,all_columns,LinearRegression
-0.000995585350715235,0.0021972040348305147,1.5666450176893137e-05,4.117450732974154e-05,-7.574054638759267e-06,-0.006145797048120158,0.005483094277805926,0.0012597985514679738,0.00015175758345909726,-1.874913940858203e-05,-0.015063016304553672,-0.009316888700940499,0.002376710188515277,0.00018997570325913267,-0.0022754227123978465,0.011077333087453982,0.009782857458267197,0.0017374919025117902,0.00011748361183860228,-0.00011586475234802111,0.006046903921757656,0.0016449613785578861,0.0005253395954716352,4.62028378423658e-05,1.6707324445153738e-05,0.013160620474576532,-0.007021491583181635,-0.0022388228642019193,-6.69092156048572e-05,9.951000991601595e-05,-0.0001569944864902101,2.539392537424563e-05,1.6127610031963766e-05,7.04369416255831e-06,-3.354059249417437e-06,-0.0008931744119552918,0.0010417663726420086,-0.00018091394867497822,7.071455359170943e-05,-0.00012176826129392919,0.004864713581183837,-0.0016656843606768115,6.110424953245591e-06,-8.388238998647407e-05,-6.957328959583584e-06,all_columns,LinearRegression
0.0030952165590854776,-0.006830978687473735,-4.870607625430703e-05,-0.0001280091323236584,2.3547292374746182e-05,0.00461089923266905,-0.004113704862076517,-0.0009451669374695713,-0.00011385649731751115,1.406658759398488e-05,-0.001907543549484963,-0.0011798680014291462,0.0003009807662311923,2.4058058491331213e-05,-0.0002881539679455788,0.004293190062150061,0.0037914962101150062,0.0006733915925466034,4.5532572761780994e-05,-4.4905158977063086e-05,0.012618191917845778,0.003432572873764842,0.001096236342345878,9.641235954591114e-05,3.486349857885423e-05,0.0003025900958845907,-0.00016143872665518388,-5.147520411033437e-05,-1.5383823281392776e-06,2.2879425404091905e-06,0.004233872026171971,-0.000684830612082811,-0.00043493398073950705,-0.0001899563503309786,9.045322512722364e-05,-0.0008929818395919481,0.001041541763193119,-0.00018087494282551384,7.06993072204233e-05,-0.00012174200751690228,-0.018160617783671507,0.006218219534957585,-2.2811022729255414e-05,0.000313144031586443,2.5972627148897645e-05,all_columns,LinearRegression
0.00643601632903713,-0.014203946488602208,-0.00010127662995854073,-0.0002661748702146912,4.8962893334111515e-05,-0.008421252030594795,0.007513186403550287,0.001726233558743223,0.00020794517746953358,-2.5690927812971173e-05,0.011247929205583746,0.006957152698082207,-0.0017747486560528922,-0.00014185958627647023,0.0016991147765066886,0.0002937575975762456,0.00025942965528645497,4.607620291459112e-05,3.1155245848276786e-06,-3.0725943712995477e-06,-0.023409750847772557,-0.006368240098489181,-0.002033779467904283,-0.00017886788616866805,-6.46800921024496e-05,-0.007813987978304097,0.004168941040943596,0.001329278887740971,3.972668366085787e-05,-5.9083082192573436e-05,-0.003943992936425715,0.0006379425452650649,0.00040515550239695854,0.0001769506728836961,-8.426019463352686e-05,-0.0008918344292602662,0.00104020346522671,-0.00018064253297243643,7.060846425816941e-05,-0.00012158557876210429,-0.0009087278311105171,0.0003111496105849251,-1.1414265449056893e-06,1.5669218968123783e-05,1.299628097370171e-06,all_columns,LinearRegression
